flow_type,producer_app_id,producer_app_name,producer_neighbourhood,producer_queue_manager,producer_queue_name,producer_queue_type,transmit_queue_name,channel_name,consumer_app_id,consumer_app_name,consumer_neighbourhood,consumer_queue_manager,consumer_queue_name,consumer_queue_type
Remote,LIY/KW,Lnvoriywfl Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,APPQM_LIY_KW,LIY.GC.JOPPIKT.XL21,Remote,APPQM_APUMN_GC.XMIT,LIYKW.TO.APUMNGC,APUMN/GC,ArcxsllfsZyuMogzcypdcdok,"Core Banking, Mainframe",APPQM_APUMN_GC,LIY.GC.JOPPIKT.XL21,Local
Remote,LIY/KW,Lnvoriywfl Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,APPQM_LIY_KW,LIY.GC.YEUZOGZS.XL21,Remote,APPQM_APUMN_GC.XMIT,LIYKW.TO.APUMNGC,APUMN/GC,ArcxsllfsZyuMogzcypdcdok,"Core Banking, Mainframe",APPQM_APUMN_GC,LIY.GC.YEUZOGZS.XL21,Local
Remote,LIY/KW,Lnvoriywfl Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,APPQM_LIY_KW,LIY.GC.YEUZOGZS.XR21,Remote,WL6ER2C.XMIT,LIYKW.TO.APUMNGC,APUMN/GC,ArcxsllfsZyuMogzcypdcdok,"Core Banking, Mainframe",APPQM_APUMN_GC,LIY.GC.YEUZOGZS.XR21,Local
Remote,LIY/KW,Lnvoriywfl Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,APPQM_LIY_KW,LIY.JUUD.WUTQE.XL21,Remote,APPQM_JUUD_C9.XMIT,LIYKW.TO.JUUDC9,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",APPQM_JUUD_C9,LIY.JUUD.WUTQE.XL21,Local
Remote,LIY/KW,Lnvoriywfl Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,APPQM_LIY_KW,LIY.JUUD.WUTQE.XL22,Remote,APPQM_JUUD_C9.XMIT,LIYKW.TO.JUUDC9,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",APPQM_JUUD_C9,LIY.JUUD.WUTQE.XL22,Local
Remote,LIY/KW,Lnvoriywfl Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,APPQM_LIY_KW,LIY.JUUD.WUTQE.XL23,Remote,APPQM_JUUD_C9.XMIT,LIYKW.TO.JUUDC9,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",APPQM_JUUD_C9,LIY.JUUD.WUTQE.XL23,Local
Remote,LIY/KW,Lnvoriywfl Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,APPQM_LIY_KW,LIY.JUUD.WUTQE.XL24,Remote,APPQM_JUUD_C9.XMIT,LIYKW.TO.JUUDC9,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",APPQM_JUUD_C9,LIY.JUUD.WUTQE.XL24,Local
Remote,LIY/KW,Lnvoriywfl Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,APPQM_LIY_KW,LIY.JUUD.WUTQE.XL25,Remote,APPQM_JUUD_C9.XMIT,LIYKW.TO.JUUDC9,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",APPQM_JUUD_C9,LIY.JUUD.WUTQE.XL25,Local
Remote,LIY/KW,Lnvoriywfl Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,APPQM_LIY_KW,LIY.JUUD.WUTQE.XL26,Remote,APPQM_JUUD_C9.XMIT,LIYKW.TO.JUUDC9,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",APPQM_JUUD_C9,LIY.JUUD.WUTQE.XL26,Local
Remote,LIY/KW,Lnvoriywfl Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,APPQM_LIY_KW,LIY.JUUD.WUTQE.XL27,Remote,APPQM_JUUD_C9.XMIT,LIYKW.TO.JUUDC9,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",APPQM_JUUD_C9,LIY.JUUD.WUTQE.XL27,Local
